"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62"
11 0.00752 0.000133 0.000371 0.000148 0.000413 0.000208 0.000492 0.000492 0.00043 0.000163 0.000147 0.000438 0.000394 0.00018 0.00021 0.00015 0.00015 0.000073 0.0001277 0.000061 0.0000738 0.00145 0.00191 0.00123 0.00113 0.00112 0.001245 0.00123 0.00029 0.00037 0.00077 0 0.000143 0.000397 0.000104 0.000116 0.000331 0.000298 0.000138 0.000208 0 0 0 0 0 0.000283 0.00027 0.000265 0.000256 0 0.000143 0.000219 0 0.001295 0 0 0 0 0.000148 0.000223 0
12 0.00754 0.000142 0.000388 0.000158 0.000431 0.000225 0.000502 0.000502 0.000441 0.000172 0.000155 0.00045 0.000405 0.00022 0.00026 0.00018 0.00019 0.0000791 0.0001509 0.0000664 0.0000831 0.00148 0.00192 0.00126 0.001155 0.00114 0.00129 0.00126 0.0003 0.00039 0.00085 0 0.000155 0.000405 0.000113 0.000126 0.000338 0.000304 0.000148 0.000226 0 0 0 0 0 0.000314 0.000307 0.000307 0.000292 0 0.000148 0.000228 0 0.001295 0 0 0 0 0.000159 0.000243 0
13 0.00757 0.000152 0.000402 0.00017 0.000446 0.000242 0.000512 0.000512 0.000452 0.000183 0.000165 0.000461 0.000415 0.00026 0.00033 0.00022 0.00024 0.0000862 0.0001911 0.0000731 0.0000971 0.00155 0.00198 0.00132 0.00119 0.00117 0.001355 0.00132 0.00032 0.00044 0.00099 0 0.000167 0.000413 0.000122 0.000135 0.000344 0.00031 0.000164 0.000255 0 0 0 0 0 0.00043 0.000416 0.000387 0.00035 0 0.000155 0.00024 0 0.001295 0 0 0 0 0.000177 0.000275 0
14 0.0076 0.000164 0.000414 0.000183 0.000458 0.00026 0.000524 0.000524 0.000463 0.000195 0.000175 0.000472 0.000425 0.0003 0.00042 0.00025 0.00031 0.000095 0.0002557 0.0000825 0.0001182 0.00163 0.00207 0.00139 0.001235 0.00121 0.001425 0.00139 0.00035 0.0005 0.00115 0.000871 0.00018 0.000422 0.000131 0.000146 0.000352 0.000317 0.000189 0.000297 0 0 0 0 0 0.000557 0.000538 0.000524 0.000489 0 0.000162 0.000254 0.002599 0.001295 0.001374 0 0 0 0.000203 0.00032 0.00087
15 0.00763 0.000177 0.000425 0.000197 0.00047 0.000278 0.000537 0.000537 0.000475 0.000209 0.000188 0.000483 0.000435 0.00033 0.00053 0.00027 0.00039 0.000108 0.0003486 0.0000968 0.0001487 0.00172 0.00215 0.00146 0.00129 0.00126 0.0015 0.00146 0.00039 0.00056 0.00133 0.001006 0.000193 0.000433 0.00014 0.000156 0.000361 0.000325 0.000216 0.000345 0.000296 0.001579 0.001288 0.000318 0 0.000781 0.000765 0.000743 0.000719 0.000531 0.00017 0.000269 0.002636 0.001488 0.001407 0.001489 0.001414 0.001453 0.000233 0.000371 0.001
16 0.00766 0.00019 0.000437 0.000212 0.000481 0.000296 0.000551 0.000551 0.000488 0.000224 0.000201 0.000495 0.000446 0.00035 0.00065 0.00029 0.00048 0.0001299 0.0004682 0.000122 0.0001909 0.00181 0.00219 0.00154 0.001355 0.00132 0.00158 0.00154 0.00044 0.00063 0.00151 0.00115 0.000205 0.000444 0.000149 0.000166 0.00037 0.000333 0.000242 0.000391 0.000332 0.001595 0.001289 0.00032 0 0.000963 0.000936 0.000917 0.000891 0.000544 0.000177 0.000284 0.002677 0.001694 0.001444 0.001479 0.001385 0.001437 0.000261 0.000421 0.00113
17 0.00769 0.000204 0.000449 0.000228 0.000495 0.000315 0.000567 0.000567 0.000502 0.000239 0.000214 0.000508 0.000458 0.00037 0.00078 0.0003 0.00057 0.0001653 0.0006352 0.0001428 0.0002796 0.0019 0.00225 0.00162 0.001425 0.00139 0.001655 0.00162 0.0005 0.0007 0.00167 0.001268 0.000218 0.000457 0.000159 0.000177 0.000381 0.000343 0.000262 0.00043 0.000343 0.001601 0.00129 0.000322 0 0.001133 0.001102 0.00108 0.001051 0.000559 0.000184 0.000301 0.002722 0.001859 0.001485 0.001467 0.001351 0.001414 0.000281 0.000463 0.00125
18 0.00773 0.000219 0.000463 0.000244 0.00051 0.000334 0.000584 0.000584 0.000517 0.000255 0.000229 0.000523 0.000472 0.00037 0.0009 0.00031 0.00066 0.0002244 0.0008963 0.0001708 0.000374 0.00199 0.0023 0.00169 0.0015 0.00146 0.001715 0.00169 0.00056 0.00076 0.00178 0.001314 0.000231 0.000471 0.000168 0.000187 0.000392 0.000353 0.000273 0.00046 0.000339 0.001595 0.001291 0.000324 0 0.001278 0.001244 0.00122 0.001188 0.000576 0.000188 0.000316 0.002771 0.001918 0.001529 0.001453 0.001311 0.001385 0.000293 0.000495 0.00134
19 0.00777 0.000234 0.00048 0.00026 0.000528 0.000354 0.000603 0.000603 0.000534 0.000271 0.000244 0.00054 0.000488 0.00037 0.00101 0.0003 0.00074 0.0002806 0.0010702 0.0002035 0.0004909 0.00203 0.00237 0.00174 0.00158 0.00154 0.001765 0.00174 0.00063 0.0008 0.00186 0.001325 0.000245 0.000486 0.000179 0.000199 0.000405 0.000365 0.00028 0.000484 0.00033 0.001579 0.001292 0.000326 0 0.001403 0.001365 0.001341 0.001304 0.000594 0.00019 0.000331 0.002826 0.001925 0.001579 0.001437 0.001267 0.001351 0.000301 0.000521 0.00141
20 0.0078 0.00025 0.000499 0.000277 0.000549 0.000376 0.000624 0.000624 0.000553 0.000288 0.00026 0.000559 0.000505 0.00037 0.0011 0.0003 0.0008 0.0003307 0.0011606 0.0002313 0.0006045 0.00209 0.00243 0.00179 0.001655 0.00162 0.00181 0.00179 0.0007 0.00084 0.0019 0.001336 0.00026 0.000503 0.000189 0.00021 0.000419 0.000377 0.000284 0.000507 0.000326 0.00155 0.001294 0.000329 0.00896 0.00153 0.001489 0.001465 0.001423 0.000614 0.000191 0.000345 0.002886 0.001932 0.001633 0.001414 0.001219 0.001311 0.000305 0.000545 0.00146
