"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62"
41 0.01001 0.000658 0.001065 0.000732 0.001168 0.001464 0.00222 0.00222 0.002099 0.000894 0.000801 0.001641 0.001492 0.00095 0.00211 0.00071 0.00153 0.001041 0.001643 0.0006254 0.0011563 0.00437 0.00659 0.00384 0.00313 0.00301 0.004005 0.00384 0.00188 0.00265 0.00329 0.003515 0.001013 0.001789 0.000716 0.000796 0.001522 0.00137 0.000768 0.001156 0.001139 0.001998 0.00199 0.001136 0.01257 0.00373 0.003631 0.003542 0.003453 0.002123 0.000774 0.001142 0.007374 0.004566 0.005549 0.001792 0.002818 0.002327 0.000826 0.001243 0.0036
42 0.01025 0.000715 0.001201 0.000796 0.001322 0.001583 0.002481 0.002481 0.00229 0.000967 0.000867 0.001842 0.001673 0.00103 0.00225 0.00077 0.00164 0.0011431 0.0017815 0.0006793 0.0012443 0.00475 0.00703 0.00417 0.00339 0.00325 0.00435 0.00417 0.0021 0.00295 0.00356 0.00391 0.001094 0.002 0.000775 0.000861 0.001697 0.001527 0.000825 0.001252 0.001191 0.002145 0.002135 0.001188 0.013 0.003986 0.003891 0.003785 0.003693 0.002351 0.000852 0.001215 0.007907 0.00505 0.006007 0.001948 0.003095 0.002556 0.000888 0.001346 0.00393
43 0.01052 0.000781 0.001362 0.000868 0.001505 0.001715 0.002804 0.002804 0.002499 0.001048 0.000942 0.002079 0.001886 0.00111 0.0024 0.00083 0.00175 0.0012474 0.001898 0.000746 0.0013505 0.00518 0.00751 0.00453 0.003685 0.00353 0.004725 0.00453 0.00236 0.00328 0.00387 0.004333 0.001186 0.00226 0.000842 0.000935 0.001905 0.001715 0.000877 0.001352 0.001242 0.00231 0.002299 0.001238 0.01348 0.004268 0.004154 0.004054 0.003957 0.002643 0.000937 0.001299 0.008496 0.005565 0.006512 0.002125 0.00341 0.002818 0.000943 0.001454 0.00428
44 0.01083 0.000855 0.001547 0.00095 0.001715 0.001859 0.003187 0.003187 0.002727 0.001139 0.001026 0.002352 0.002129 0.0012 0.00256 0.00089 0.00187 0.0013457 0.0020322 0.0008159 0.0014798 0.00564 0.00804 0.00492 0.004005 0.00384 0.005135 0.00492 0.00265 0.00364 0.00419 0.004795 0.001286 0.002569 0.000919 0.001021 0.002147 0.001932 0.000923 0.001458 0.001294 0.002497 0.002485 0.00129 0.01399 0.004573 0.004463 0.004348 0.004243 0.002996 0.001029 0.001397 0.009145 0.006124 0.007068 0.002327 0.003769 0.003095 0.000992 0.001568 0.00465
45 0.01116 0.000939 0.001752 0.001043 0.001948 0.002019 0.003625 0.003625 0.002975 0.001242 0.001122 0.002657 0.002399 0.0013 0.00275 0.00096 0.002 0.001455 0.0021748 0.0008868 0.0016034 0.00615 0.00861 0.00535 0.00435 0.00417 0.005589 0.00535 0.00295 0.00403 0.00455 0.005304 0.001397 0.002922 0.00101 0.001122 0.002426 0.002183 0.000973 0.001578 0.001352 0.002711 0.002698 0.001348 0.01457 0.004907 0.004778 0.004671 0.004558 0.003406 0.001124 0.001508 0.009862 0.006734 0.007681 0.002556 0.00418 0.00341 0.001046 0.001697 0.00506
46 0.01156 0.001035 0.001974 0.001148 0.002198 0.002196 0.004116 0.004116 0.003244 0.001362 0.001231 0.002988 0.002693 0.0014 0.00295 0.00104 0.00215 0.0015758 0.0023466 0.0009663 0.0017246 0.0067 0.00923 0.00583 0.004725 0.00453 0.006094 0.00583 0.00328 0.00446 0.00492 0.005881 0.001519 0.003318 0.001117 0.001241 0.002745 0.002471 0.001033 0.001722 0.00142 0.002955 0.002941 0.001416 0.0152 0.005264 0.005127 0.005016 0.004894 0.003871 0.001223 0.001616 0.010653 0.007443 0.008355 0.002818 0.004635 0.003769 0.001111 0.001852 0.00551
47 0.012 0.001141 0.002211 0.001267 0.002463 0.002391 0.004657 0.004657 0.003535 0.0015 0.001356 0.003343 0.003009 0.00152 0.00317 0.00112 0.00231 0.0017322 0.0025429 0.0010661 0.0018463 0.00731 0.00991 0.00636 0.005135 0.00492 0.006654 0.00636 0.00364 0.00494 0.00532 0.006459 0.001654 0.003754 0.001237 0.001374 0.0031 0.00279 0.001112 0.001899 0.001502 0.003233 0.003219 0.001492 0.0159 0.005629 0.005486 0.005371 0.005242 0.004387 0.001326 0.001734 0.011525 0.008146 0.009098 0.003095 0.005103 0.00418 0.001196 0.002042 0.006
48 0.01251 0.001261 0.00246 0.0014 0.00274 0.002606 0.005246 0.005246 0.003849 0.001658 0.001499 0.003718 0.003343 0.00164 0.00341 0.00121 0.00249 0.0019093 0.0027966 0.001167 0.0020009 0.00798 0.01064 0.00695 0.005589 0.00535 0.007274 0.00695 0.00403 0.00547 0.00574 0.007123 0.001802 0.004228 0.001366 0.001518 0.003487 0.003138 0.001206 0.002102 0.001602 0.003548 0.003534 0.00157 0.01667 0.005997 0.005848 0.005731 0.005597 0.004952 0.001434 0.00186 0.012488 0.008951 0.009916 0.00341 0.005616 0.004635 0.001297 0.00226 0.00655
49 0.01311 0.001393 0.002721 0.001548 0.003028 0.002845 0.00588 0.00588 0.004187 0.001837 0.001657 0.00411 0.003694 0.00178 0.00367 0.00131 0.00268 0.0021023 0.0030327 0.0012926 0.0021789 0.00872 0.01145 0.0076 0.006094 0.00583 0.007959 0.0076 0.00446 0.00606 0.00621 0.007835 0.001967 0.00474 0.001505 0.001672 0.003903 0.003513 0.00131 0.002326 0.001725 0.003906 0.003871 0.001653 0.01752 0.006378 0.006241 0.006105 0.005967 0.005563 0.00155 0.001995 0.01355 0.009811 0.010817 0.003769 0.006196 0.005103 0.001408 0.002501 0.00716
50 0.01378 0.001538 0.002994 0.00171 0.00333 0.003109 0.006557 0.006557 0.00455 0.002033 0.00183 0.004518 0.004057 0.00193 0.00396 0.00142 0.0029 0.0022899 0.0033904 0.0014107 0.0023873 0.00952 0.01232 0.00832 0.006654 0.00636 0.008713 0.00832 0.00494 0.00671 0.00671 0.008625 0.002151 0.005285 0.001647 0.00183 0.004343 0.003909 0.001428 0.002579 0.001874 0.004309 0.004218 0.001742 0.01845 0.006781 0.006633 0.006501 0.006359 0.006219 0.001676 0.002138 0.014722 0.010763 0.011809 0.00418 0.006853 0.005616 0.001536 0.002773 0.00784
51 0.01454 0.001695 0.003279 0.001888 0.003647 0.003361 0.007277 0.007277 0.004943 0.002246 0.002016 0.004938 0.004431 0.00209 0.00427 0.00155 0.00313 0.002486 0.0037727 0.0015282 0.0026229 0.0104 0.01327 0.00911 0.007274 0.00695 0.009533 0.00911 0.00547 0.00742 0.0073 0.009483 0.002324 0.005867 0.001793 0.001992 0.004804 0.004324 0.001568 0.002872 0.002053 0.004761 0.004578 0.001839 0.01947 0.007228 0.007064 0.00694 0.006794 0.006917 0.001852 0.002449 0.016014 0.011803 0.012901 0.004635 0.007543 0.006196 0.001686 0.003088 0.0086
52 0.01539 0.001864 0.003576 0.002079 0.00398 0.003642 0.008038 0.008038 0.005378 0.002474 0.002215 0.00537 0.004812 0.00228 0.00462 0.00169 0.00339 0.0026688 0.0042051 0.0016306 0.0029034 0.01137 0.0143 0.00996 0.007959 0.0076 0.010423 0.00996 0.00606 0.00819 0.00796 0.010428 0.00252 0.00648 0.001949 0.002165 0.005283 0.004755 0.001734 0.003213 0.002265 0.005266 0.004958 0.001945 0.02061 0.007738 0.00757 0.007441 0.007289 0.007658 0.002018 0.002667 0.017439 0.012948 0.014201 0.005103 0.008278 0.006853 0.001864 0.003455 0.00944
53 0.01633 0.002047 0.003884 0.002286 0.004331 0.003957 0.00884 0.00884 0.005868 0.002716 0.002426 0.005811 0.005198 0.00248 0.00499 0.00185 0.00367 0.0028667 0.0046575 0.0017601 0.0032172 0.01244 0.01543 0.01089 0.008713 0.00832 0.011392 0.01089 0.00671 0.00903 0.00871 0.01146 0.002738 0.007127 0.00212 0.002355 0.005778 0.0052 0.001907 0.003584 0.002506 0.005827 0.005363 0.002063 0.02186 0.008326 0.008156 0.008016 0.007858 0.008439 0.002207 0.002916 0.01901 0.014195 0.015425 0.005616 0.009033 0.007543 0.002051 0.003854 0.01037
54 0.0174 0.002244 0.004203 0.002507 0.004698 0.00431 0.009682 0.009682 0.006428 0.002971 0.00265 0.00626 0.005591 0.0027 0.00541 0.00203 0.00398 0.0030948 0.0050194 0.0019246 0.0035536 0.01361 0.01665 0.0119 0.009533 0.00911 0.012447 0.0119 0.00742 0.00994 0.00956 0.01259 0.002982 0.007806 0.002315 0.002572 0.006289 0.00566 0.002084 0.003979 0.00277 0.006447 0.005798 0.002194 0.02325 0.008985 0.008813 0.008661 0.008495 0.009261 0.002424 0.003196 0.020743 0.015557 0.016881 0.006196 0.009875 0.008278 0.002241 0.004278 0.01141
55 0.01857 0.002457 0.004534 0.002746 0.005077 0.004705 0.010565 0.010565 0.007073 0.003242 0.002891 0.006718 0.005994 0.00294 0.00586 0.00223 0.00431 0.0033761 0.0055152 0.0021113 0.003907 0.01488 0.01798 0.013 0.010423 0.00996 0.013601 0.013 0.00819 0.01093 0.01047 0.013808 0.003256 0.008519 0.002541 0.002823 0.006812 0.006131 0.002294 0.004425 0.003053 0.007129 0.006271 0.00234 0.02477 0.009701 0.009528 0.009361 0.009186 0.010124 0.002717 0.003624 0.022652 0.017024 0.018483 0.006853 0.010814 0.009033 0.002466 0.004758 0.01255
56 0.01989 0.002689 0.004876 0.003003 0.005465 0.005146 0.011491 0.011491 0.007818 0.003528 0.003151 0.007184 0.006409 0.00321 0.00635 0.00245 0.00468 0.0036901 0.0059796 0.0023298 0.0042981 0.01624 0.01943 0.01421 0.011392 0.01089 0.01487 0.01421 0.00903 0.01202 0.01146 0.015105 0.003574 0.009262 0.002803 0.003114 0.007353 0.006618 0.002563 0.004949 0.00335 0.007876 0.006785 0.002501 0.02643 0.010457 0.010283 0.010102 0.009918 0.011028 0.00309 0.0042 0.024756 0.018633 0.020246 0.007543 0.011863 0.009875 0.002755 0.005322 0.01381
57 0.02134 0.002942 0.005228 0.00328 0.005861 0.00564 0.01246 0.01246 0.008678 0.003832 0.003432 0.007658 0.006839 0.00351 0.0069 0.00271 0.00509 0.0040317 0.0065447 0.002564 0.0047163 0.0177 0.021 0.01554 0.012447 0.0119 0.016264 0.01554 0.00994 0.01322 0.01249 0.016492 0.003948 0.010039 0.003103 0.003448 0.007932 0.007139 0.002919 0.005581 0.003656 0.008688 0.007347 0.002681 0.02829 0.011251 0.011073 0.010879 0.010686 0.011976 0.003478 0.004693 0.027075 0.020358 0.022184 0.008278 0.012952 0.010814 0.003139 0.006001 0.0152
58 0.02294 0.003218 0.005593 0.003578 0.006265 0.006193 0.013476 0.013476 0.009666 0.004155 0.003739 0.008146 0.00729 0.00384 0.00749 0.00299 0.00554 0.0044048 0.0070133 0.0028004 0.0051323 0.01924 0.02271 0.017 0.013601 0.013 0.017788 0.017 0.01093 0.01454 0.01359 0.017948 0.004388 0.010889 0.003443 0.003825 0.008577 0.007719 0.003359 0.0063 0.003965 0.00957 0.007962 0.00288 0.03032 0.012078 0.011892 0.011689 0.011487 0.012968 0.003923 0.005273 0.029629 0.022173 0.024316 0.009033 0.014162 0.011863 0.003612 0.006774 0.01673
59 0.02472 0.003523 0.005988 0.003907 0.006694 0.006812 0.014542 0.014542 0.010782 0.004515 0.004081 0.008671 0.007782 0.0042 0.00814 0.0033 0.00603 0.004809 0.0077397 0.0030334 0.0055507 0.02087 0.02457 0.01859 0.01487 0.01421 0.019457 0.01859 0.01202 0.01598 0.01477 0.019485 0.004901 0.011924 0.003821 0.004246 0.009315 0.008384 0.003863 0.00709 0.004273 0.010524 0.008636 0.003101 0.03255 0.012949 0.01275 0.012542 0.012329 0.014009 0.004441 0.005945 0.032442 0.024089 0.026661 0.009875 0.015509 0.012952 0.004154 0.007623 0.01839
60 0.02669 0.003863 0.006428 0.004277 0.00717 0.007504 0.015662 0.015662 0.012027 0.004927 0.004467 0.009266 0.008338 0.00459 0.00886 0.00365 0.00656 0.0052625 0.0084372 0.0033009 0.0060008 0.02262 0.02659 0.02034 0.016264 0.01554 0.02128 0.02034 0.01322 0.01756 0.01608 0.021122 0.005489 0.013119 0.004241 0.004712 0.010175 0.009158 0.004439 0.007976 0.004575 0.011552 0.009374 0.003345 0.03501 0.013887 0.013674 0.013461 0.013238 0.015102 0.005055 0.006747 0.035538 0.026128 0.029238 0.010814 0.01701 0.014162 0.004773 0.008576 0.0202
61 0.02888 0.004242 0.006933 0.004699 0.007714 0.008278 0.016869 0.016919 0.013401 0.005411 0.004908 0.009961 0.008983 0.00501 0.00964 0.00403 0.00715 0.0057335 0.009212 0.0035957 0.0065038 0.02451 0.02878 0.02224 0.017788 0.017 0.023263 0.02224 0.01454 0.01926 0.01754 0.022878 0.006156 0.01444 0.004703 0.005225 0.011182 0.010064 0.005093 0.008986 0.004865 0.012657 0.010183 0.003591 0.03772 0.014904 0.014678 0.01446 0.014226 0.016219 0.005814 0.007676 0.038947 0.028402 0.032071 0.011863 0.018685 0.015509 0.005476 0.009663 0.02217
62 0.03129 0.004668 0.00752 0.005181 0.008348 0.009144 0.018199 0.018348 0.014901 0.005983 0.005413 0.010787 0.00974 0.00548 0.01049 0.00445 0.0078 0.0062466 0.0098629 0.0039135 0.0070974 0.0266 0.03118 0.02431 0.019457 0.01859 0.025426 0.02431 0.01598 0.0211 0.01919 0.024811 0.006898 0.015863 0.00521 0.005789 0.01237 0.011133 0.005832 0.010147 0.005138 0.013842 0.011067 0.003842 0.04071 0.015997 0.015763 0.015534 0.015288 0.017634 0.006657 0.008757 0.042697 0.030908 0.035183 0.012952 0.020517 0.01701 0.006271 0.010911 0.02428
63 0.03394 0.005144 0.008207 0.005732 0.009093 0.010112 0.019666 0.019986 0.016526 0.006656 0.00599 0.011769 0.01063 0.00599 0.01143 0.00491 0.00851 0.0067445 0.01069 0.0042898 0.0078021 0.02886 0.03376 0.02657 0.02128 0.02034 0.027788 0.02657 0.01756 0.02309 0.02106 0.026912 0.007712 0.017413 0.005769 0.00641 0.013768 0.012391 0.006677 0.011471 0.005508 0.015108 0.011958 0.004126 0.04339 0.017176 0.016938 0.016693 0.016431 0.191167 0.007648 0.010012 0.046822 0.03364 0.038601 0.014162 0.022562 0.018685 0.007179 0.012335 0.02656
64 0.03687 0.005671 0.009008 0.006347 0.009968 0.011195 0.021283 0.021868 0.018286 0.007416 0.006633 0.01292 0.011664 0.00654 0.01246 0.00541 0.00929 0.0072829 0.0116459 0.0047135 0.0086713 0.03131 0.03658 0.02904 0.023263 0.02224 0.030375 0.02904 0.01926 0.02525 0.02314 0.029162 0.008608 0.019185 0.006386 0.007095 0.015409 0.013868 0.007621 0.01294 0.00609 0.01646 0.012818 0.004474 0.04759 0.018452 0.018215 0.017949 0.017669 0.020927 0.008619 0.01128 0.051357 0.036577 0.042355 0.015509 0.024847 0.020517 0.008194 0.013914 0.02904
65 0.04013 0.00625 0.00994 0.007017 0.010993 0.012406 0.023066 0.024012 0.020192 0.008241 0.007336 0.014248 0.012851 0.00714 0.01358 0.00593 0.01014 0.0078072 0.012549 0.0052346 0.0095833 0.034 0.03964 0.03175 0.025426 0.02431 0.033221 0.03175 0.0211 0.02761 0.02542 0.03162 0.009563 0.02126 0.007064 0.007849 0.017324 0.015592 0.008636 0.014535 0.006888 0.018071 0.013697 0.004909 0.05156 0.019805 0.019569 0.019281 0.018981 0.02294 0.009706 0.012737 0.05634 0.039799 0.046475 0.01701 0.027232 0.022562 0.009286 0.015629 0.03175
66 0.04371 0.006878 0.011016 0.007734 0.012188 0.013759 0.02503 0.026412 0.022256 0.009114 0.00809 0.015761 0.014199 0.00778 0.01481 0.00648 0.01107 0.0084053 0.0135129 0.0057864 0.0105349 0.037 0.04296 0.03474 0.027788 0.02657 0.036361 0.03474 0.02309 0.03021 0.02785 0.034364 0.010565 0.023643 0.007817 0.008686 0.019532 0.017579 0.009694 0.016239 0.007906 0.020031 0.01464 0.005448 0.0559 0.021276 0.021042 0.020731 0.020413 0.025212 0.010954 0.014409 0.061814 0.043445 0.050995 0.018685 0.029634 0.024847 0.010423 0.017462 0.03474
67 0.04765 0.007555 0.012251 0.008491 0.013572 0.015272 0.027193 0.029045 0.024491 0.010012 0.008888 0.017467 0.015717 0.0085 0.01616 0.0071 0.0121 0.0090414 0.0143795 0.006393 0.0114564 0.04032 0.04656 0.03804 0.030375 0.02904 0.039825 0.03804 0.02525 0.03308 0.03044 0.037395 0.011621 0.026316 0.008681 0.009646 0.022004 0.019804 0.010764 0.018034 0.009149 0.022342 0.015691 0.006083 0.06069 0.022948 0.022715 0.022386 0.022051 0.027729 0.012163 0.016075 0.067822 0.047491 0.055953 0.020517 0.032073 0.027232 0.011574 0.019391 0.03804
68 0.052 0.008287 0.013657 0.009288 0.01516 0.016963 0.029577 0.031867 0.026911 0.010931 0.009731 0.019373 0.017414 0.00927 0.01763 0.00775 0.01323 0.0097934 0.0156326 0.0071061 0.0124987 0.04401 0.05046 0.04168 0.033221 0.03175 0.043603 0.04168 0.02761 0.03624 0.03319 0.040733 0.012877 0.029188 0.009702 0.01078 0.024699 0.022229 0.011763 0.019859 0.010623 0.025002 0.016891 0.006795 0.06595 0.02487 0.024637 0.024296 0.023947 0.030456 0.013445 0.017871 0.074415 0.051963 0.061387 0.022562 0.034743 0.029634 0.012648 0.021354 0.04168
69 0.05676 0.009102 0.015233 0.010163 0.016946 0.018853 0.032202 0.034836 0.029531 0.011916 0.010653 0.021486 0.019296 0.01009 0.01925 0.00843 0.01446 0.0105983 0.0167943 0.0079214 0.0135974 0.04803 0.0547 0.04561 0.036361 0.03474 0.047651 0.04561 0.03021 0.03966 0.03617 0.04437 0.014461 0.032435 0.010922 0.012135 0.027574 0.024817 0.012709 0.021729 0.012332 0.028012 0.018278 0.007572 0.07171 0.027027 0.026793 0.026443 0.026083 0.033352 0.01486 0.019802 0.081642 0.056855 0.067341 0.024847 0.037667 0.032073 0.013665 0.023364 0.04561
70 0.06199 0.010034 0.016979 0.011165 0.01892 0.020964 0.035092 0.037916 0.032367 0.013027 0.011697 0.02381 0.021371 0.011 0.02102 0.00919 0.01581 0.0115216 0.0183789 0.0088362 0.0150356 0.05233 0.0593 0.04979 0.039825 0.03804 0.051914 0.04979 0.03308 0.0433 0.03951 0.048239 0.016477 0.036106 0.012385 0.013761 0.030589 0.02753 0.01373 0.02373 0.014281 0.031371 0.019886 0.008398 0.07802 0.029359 0.029122 0.028766 0.028396 0.036376 0.016742 0.022206 0.089561 0.062084 0.07386 0.027232 0.040871 0.034743 0.014763 0.025516 0.04979
71 0.06767 0.011117 0.018891 0.012339 0.021071 0.023321 0.038272 0.041101 0.035436 0.014326 0.012905 0.026353 0.023647 0.01202 0.02295 0.01006 0.0173 0.0124819 0.0202899 0.0097454 0.0166761 0.05686 0.06427 0.05415 0.043603 0.04168 0.056337 0.05415 0.03624 0.04709 0.0433 0.052275 0.019 0.040008 0.014128 0.015698 0.033727 0.030354 0.014953 0.025951 0.016474 0.035081 0.02175 0.009262 0.08493 0.031839 0.031598 0.031234 0.030852 0.039509 0.018579 0.02457 0.09823 0.068386 0.080994 0.029634 0.044504 0.037667 0.016079 0.027905 0.05415
72 0.07373 0.012386 0.020967 0.013734 0.023388 0.025954 0.041771 0.04442 0.038756 0.015872 0.014319 0.02912 0.026131 0.01312 0.02508 0.01102 0.01893 0.0136001 0.0226976 0.010748 0.0187002 0.06158 0.06966 0.05865 0.047651 0.04561 0.060886 0.05865 0.03966 0.051 0.04765 0.056458 0.021911 0.043827 0.01616 0.017955 0.037078 0.03337 0.016506 0.028481 0.018916 0.03914 0.023889 0.010151 0.09251 0.034509 0.034268 0.033892 0.033496 0.042761 0.020665 0.027281 0.107713 0.075048 0.088795 0.032073 0.048504 0.040871 0.017748 0.030625 0.05865
73 0.08018 0.013871 0.023209 0.015391 0.025871 0.028892 0.04562 0.047987 0.042346 0.017717 0.01598 0.032123 0.028835 0.0143 0.0274 0.01204 0.02072 0.0147735 0.0254119 0.0117749 0.0208752 0.06642 0.0755 0.06326 0.051914 0.04979 0.065611 0.06326 0.0433 0.05501 0.05264 0.060731 0.025112 0.047489 0.018481 0.020534 0.040756 0.03668 0.018344 0.031201 0.021612 0.043549 0.026286 0.011054 0.10077 0.037378 0.03714 0.036746 0.036335 0.046204 0.02297 0.030387 0.118075 0.082003 0.097319 0.034743 0.052913 0.044504 0.019724 0.033549 0.06326
74 0.08703 0.015592 0.025644 0.017326 0.028552 0.032171 0.049852 0.051822 0.046226 0.019883 0.017909 0.035398 0.031794 0.01558 0.02994 0.01313 0.02268 0.0164225 0.0280659 0.0128002 0.0232898 0.07153 0.08181 0.06812 0.056337 0.05415 0.070653 0.06812 0.04709 0.05923 0.05819 0.06521 0.028632 0.051221 0.021092 0.023435 0.044876 0.040388 0.020381 0.034051 0.024568 0.048308 0.028914 0.011961 0.10987 0.040462 0.040228 0.039812 0.039382 0.049905 0.025458 0.0339 0.129387 0.089417 0.106626 0.037667 0.057775 0.048504 0.021915 0.036614 0.06812
75 0.09437 0.017564 0.028304 0.019551 0.031477 0.035829 0.054501 0.055946 0.050417 0.022383 0.020127 0.038986 0.035046 0.01699 0.03273 0.01433 0.02483 0.0182079 0.0298929 0.013845 0.0257844 0.07704 0.08864 0.07337 0.060886 0.05865 0.076164 0.07337 0.051 0.0638 0.06419 0.070004 0.032385 0.055293 0.023992 0.026658 0.049552 0.044597 0.022686 0.037211 0.027786 0.053416 0.031746 0.012878 0.11972 0.043769 0.043539 0.043097 0.042648 0.053884 0.028106 0.037834 0.141721 0.097453 0.116777 0.040871 0.063142 0.052913 0.024393 0.040012 0.07337
76 0.10231 0.019805 0.03122 0.022075 0.034686 0.039907 0.059609 0.060381 0.054941 0.025228 0.022654 0.04293 0.038631 0.01856 0.03578 0.01566 0.02719 0.0203084 0.0326954 0.0151097 0.0286674 0.08314 0.09602 0.07918 0.065611 0.06326 0.082306 0.07918 0.05501 0.06885 0.07053 0.075299 0.036408 0.060068 0.027185 0.030205 0.054876 0.049388 0.025325 0.040858 0.031273 0.058875 0.034759 0.013868 0.13053 0.047327 0.047098 0.046629 0.046159 0.058164 0.030966 0.042169 0.155154 0.107087 0.127839 0.044504 0.068628 0.057775 0.027231 0.043933 0.07918
77 0.11106 0.022328 0.034425 0.02491 0.038225 0.044451 0.065216 0.06514 0.059821 0.028433 0.025509 0.047272 0.042587 0.0203 0.03912 0.01714 0.02977 0.0223018 0.0358784 0.0166446 0.0317212 0.08998 0.10399 0.0857 0.070653 0.06812 0.089215 0.0857 0.05923 0.07452 0.07712 0.081234 0.040769 0.065924 0.030672 0.03408 0.060842 0.054758 0.028366 0.045171 0.035033 0.064683 0.037928 0.015004 0.14226 0.051179 0.050944 0.05045 0.049961 0.062761 0.034105 0.046906 0.169765 0.117963 0.13988 0.048504 0.074648 0.063142 0.030501 0.04857 0.0857
78 0.12083 0.025158 0.037948 0.028074 0.042132 0.049513 0.071368 0.070253 0.065081 0.032017 0.028717 0.052054 0.046951 0.02221 0.04278 0.01876 0.03261 0.0247974 0.0398857 0.0186115 0.0348424 0.09771 0.11259 0.09306 0.076164 0.07337 0.096927 0.09306 0.0638 0.08092 0.0839 0.087909 0.045472 0.072595 0.034459 0.038288 0.06742 0.060678 0.031727 0.050211 0.039071 0.07084 0.041232 0.016352 0.15502 0.055366 0.055115 0.054596 0.054091 0.067697 0.037595 0.052123 0.185633 0.130283 0.152972 0.052913 0.081256 0.068628 0.034115 0.053991 0.09306
79 0.13173 0.028341 0.041812 0.031612 0.046427 0.055147 0.078113 0.075741 0.070747 0.036029 0.032328 0.057325 0.051755 0.02431 0.04679 0.02055 0.03573 0.0276023 0.0429656 0.0210603 0.0382344 0.10625 0.12186 0.10119 0.082306 0.07918 0.105351 0.10119 0.06885 0.08799 0.09105 0.095268 0.050616 0.079692 0.038549 0.042832 0.074583 0.067125 0.035362 0.055861 0.043392 0.077348 0.044649 0.017972 0.16893 0.05991 0.059631 0.059091 0.058572 0.072997 0.041506 0.057927 0.202839 0.144029 0.167188 0.057775 0.088518 0.074648 0.038024 0.060066 0.10119
80 0.14447 0.031933 0.046037 0.03558 0.051128 0.061415 0.085503 0.081627 0.076847 0.040525 0.036395 0.063132 0.057026 0.02674 0.05118 0.02264 0.03914 0.0309387 0.0479174 0.0240473 0.0417852 0.11548 0.13185 0.10998 0.089215 0.0857 0.114392 0.10998 0.07452 0.09564 0.09884 0.103168 0.056085 0.087431 0.042945 0.047717 0.0823 0.07407 0.039396 0.062027 0.048 0.084205 0.048159 0.019917 0.18397 1 1 1 1 0.078684 0.045879 0.064368 0.221464 0.159043 0.182604 0.063142 0.096218 0.081256 0.042361 0.066696 0.10998
81 0.1586 0.035985 0.050643 0.04003 0.05625 0.068383 0.093593 0.087937 0.083411 0.045561 0.040975 0.069523 0.062791 0.02962 0.05598 0.02516 0.04289 0.034852 0.0528419 0.0273368 0.0457989 0.12532 0.1426 0.11935 0.096927 0.09306 0.123948 0.11935 0.08092 0.10378 0.10748 0.111553 0.061853 0.095445 0.047655 0.05295 0.090538 0.081484 0.043952 0.068615 0.0529 0.091412 0.051743 0.022237 0.20014 0 0 0 0 0.084782 0.05078 0.072041 0.241589 0.176815 0.199296 0.068628 0.10431 0.088518 0.04726 0.07378 0.11935
82 0.1743 0.040552 0.055651 0.045017 0.061809 0.076121 0.102443 0.0947 0.090471 0.051194 0.046121 0.076547 0.069081 0.03307 0.06125 0.02817 0.047 0.0394659 0.0586542 0.0307907 0.049948 0.13563 0.15416 0.12917 0.105351 0.10119 0.133923 0.12917 0.08799 0.11232 0.11725 0.120277 0.067936 0.103691 0.052691 0.058546 0.099244 0.08932 0.049153 0.075532 0.058097 0.098969 0.055383 0.024976 0.21788 0 0 0 0 0.091319 0.056294 0.080486 0.2632 0.195857 0.217339 0.074648 0.112816 0.096218 0.052853 0.081217 0.12917
83 0.19156 0.04569 0.06108 0.0506 0.067826 0.084707 0.112113 0.101944 0.098061 0.057483 0.051889 0.084229 0.075908 0.03711 0.06701 0.03176 0.0515 0.0444953 0.0638227 0.0342908 0.0544018 0.14635 0.16657 0.13938 0.114392 0.10998 0.144297 0.13938 0.09564 0.1212 0.12826 0.129281 0.074351 0.112303 0.058071 0.064523 0.108361 0.097525 0.054857 0.08251 0.063596 0.106876 0.059062 0.028152 0.23677 0 0 0 0 0.098322 0.062506 0.089718 0.28664 0.216109 0.23681 0.081256 0.122079 0.10431 0.058986 0.088721 0.13938
84 0.21136 0.051456 0.066948 0.056865 0.074322 0.094224 0.122669 0.109694 0.106217 0.064512 0.058336 0.092498 0.08323 0.04185 0.07332 0.03577 0.05645 0.0497225 0.0694993 0.0381713 0.0597001 0.15751 0.17988 0.15001 0.123948 0.11935 0.155124 0.15001 0.10378 0.13045 0.14025 0.138597 0.081501 0.121116 0.063807 0.070897 0.11783 0.106047 0.060979 0.089613 0.069401 0.115132 0.062764 0.031713 0.25721 0 0 0 0 0.105819 0.069517 0.099779 0.311707 0.237657 0.257781 0.088518 0.132174 0.112816 0.065569 0.096358 0.15001
